fundCd,fundNm,stockCd,type,area,aum,wk1,mm1,mm3,pension
K55101EQ7660,"ACE 고배당주",0139P0,"주식","",50149882641,-0.284638287197,0.693942728414,-5.466619429265,"개인연금,퇴직연금"
K55101EV6285,"ACE 고배당주Plus커버드콜액티브",0199C0,"주식","",133242699369,-0.323551986774,-1.373196833399,,"개인연금,퇴직연금"
K55101B44423,"ACE 골드선물 레버리지(합성 H)",225130,"원자재","",27371051022,11.871081890269,30.02488214471,0.11237650243,""
K55101EB6099,"ACE 구글밸류체인액티브",483340,"주식","",241521728087,-9.589664586353,-7.498900733652,-18.212910617215,"개인연금,퇴직연금"
K55101D95314,"ACE 국고채10년",365780,"채권","",525412182964,0.524827162686,1.47982486782,-0.285934204567,"개인연금,퇴직연금"
KR5101148215,"ACE 국고채3년",114460,"채권","",15122718667,0.199637736074,0.794342614578,0.767079556489,"개인연금,퇴직연금"
K55101EE6187,"ACE 글로벌AI맞춤형반도체",494340,"주식","",27504886090,-11.482654197649,-13.315453895208,-20.179698195837,"개인연금,퇴직연금"
K55101DY2753,"ACE 글로벌반도체TOP4 Plus",446770,"주식","",1516381446731,-7.260733922161,-8.511456596357,-11.422693265367,"개인연금,퇴직연금"
K55101DU3912,"ACE 글로벌브랜드TOP10",435040,"주식","",12675152089,-0.055968112526,0.736819102706,-5.718126414859,"개인연금,퇴직연금"
K55101EF6160,"ACE 글로벌빅파마",497510,"주식","",9449534390,3.450231228711,0.363903326115,4.644917926546,"개인연금,퇴직연금"
K55101E30004,"ACE 글로벌인컴TOP10",460960,"혼합형","",86573124075,-1.859796194661,-3.37597745491,-6.27733570423,"개인연금,퇴직연금"
K55101DP1319,"ACE 글로벌자율주행액티브",414270,"주식","",25582866036,-3.905525673951,-5.455084329612,-17.320352270346,"개인연금,퇴직연금"
K55101DW2771,"ACE 단기채권알파액티브",440640,"채권","",68138641619,0.056644338231,0.323518337411,0.813358026655,"개인연금,퇴직연금"
KR5101AN3254,"ACE 단기통안채",190620,"채권","",295936148921,0.045154112822,0.243672935853,0.657850758212,"개인연금,퇴직연금"
K55101EE7904,"ACE 라이프자산주주가치액티브",494330,"주식","",176752421460,-1.531304009061,4.000433200747,4.400270988537,"개인연금,퇴직연금"
K55101BM2890,"ACE 러시아MSCI(합성)",265690,"주식","",89494328,0,0,0,"개인연금,퇴직연금"
KR5101A62068,"ACE 레버리지",152500,"주식","",47575994540,-4.208628592247,-6.783772792017,-38.087277696334,""
K55101EP9774,"ACE 리츠부동산인프라액티브",0153P0,"리츠","",14398852838,-0.053100993926,2.77352931359,-2.148164051551,"개인연금,퇴직연금"
K55101EB6081,"ACE 마이크로소프트밸류체인액티브",483330,"주식","",17427641975,-3.647944950098,7.442389341446,-4.365920520372,"개인연금,퇴직연금"
K55101EC8482,"ACE 머니마켓액티브",487340,"채권","",828425243678,0.066184529962,0.309821777084,0.875146163669,"개인연금,퇴직연금"
K55101EL9166,"ACE 미국10년국채액티브",0085P0,"채권","",103711327906,-1.373650513433,-5.071056466985,-8.419299754303,"개인연금,퇴직연금"
K55101EL9174,"ACE 미국10년국채액티브(H)",0085N0,"채권","",31261440540,0.43126224651,0.355189636519,0.012764810357,"개인연금,퇴직연금"
K55101DZ9039,"ACE 미국30년국채선물레버리지(합성 H)",452250,"채권","",36992539468,1.420648917409,-1.329821870433,-3.063756849079,""
K55101E91865,"ACE 미국30년국채액티브",476760,"채권","",360218032809,-0.122192029388,-6.121686441198,-9.52602709826,"개인연금,퇴직연금"
K55101E03860,"ACE 미국30년국채액티브(H)",453850,"채권","",1505755764574,1.68893370305,-0.688193353415,-1.104599888013,"개인연금,퇴직연금"
K55101E91790,"ACE 미국30년국채엔화노출액티브(H)",476750,"채권","",59536221704,-0.129767826973,-4.015670404645,-10.437913220553,"개인연금,퇴직연금"
K55101E97755,"ACE 미국500데일리타겟커버드콜(합성)",480030,"주식","",159085046358,-2.889725150385,-3.802520484151,-7.826931087106,"개인연금,퇴직연금"
K55101EO4453,"ACE 미국AI테크핵심산업액티브",0118Z0,"주식","",51235802414,-7.57623970699,-3.545832528541,-17.349045418246,"개인연금,퇴직연금"
K55101BW5925,"ACE 미국IT인터넷(합성 H)",280320,"주식","",2151676841,-0.164160108537,10.794690938077,4.808167698915,"개인연금,퇴직연금"
K55101D78195,"ACE 미국S&P500",360200,"주식","",3947904693180,-2.964265873987,-2.284731055832,-5.899788533476,"개인연금,퇴직연금"
K55101DU8887,"ACE 미국S&P500미국채혼합50액티브",438080,"혼합형","",1233943656149,-2.205604647675,-3.581221773038,-6.890689313497,"개인연금,퇴직연금"
K55101ER4245,"ACE 미국SMR원자력TOP10",0155M0,"주식","",28691164428,-5.821692944385,-6.058950778329,-22.473984031578,"개인연금,퇴직연금"
K55101CF3110,"ACE 미국WideMoat동일가중",309230,"주식","",117537196976,0.47188611316,3.922861539985,2.785927476375,"개인연금,퇴직연금"
K55101DB1182,"ACE 미국나스닥100",367380,"주식","",3400929990402,-4.980396332123,-3.563534424298,-9.6150983944,"개인연금,퇴직연금"
K55101DU8879,"ACE 미국나스닥100미국채혼합50액티브",438100,"혼합형","",930995279781,-2.987949926358,-3.990383062843,-8.5695558474,"개인연금,퇴직연금"
K55101E19692,"ACE 미국달러SOFR금리(합성)",456880,"원자재","",335794830813,-1.749345952167,-5.180565539165,-7.769947556964,"개인연금,퇴직연금"
K55101DW3258,"ACE 미국달러단기채권액티브",440650,"채권","",41863368436,-1.76863243329,-5.090089648912,-7.829790202142,"개인연금,퇴직연금"
K55101EP9626,"ACE 미국대형가치주액티브",0127M0,"주식","",147005369077,-3.088010124367,-3.234885873589,1.063141344471,"개인연금,퇴직연금"
K55101EP9634,"ACE 미국대형성장주액티브",0127P0,"주식","",676485118867,-5.428473850942,-3.926434786507,-9.495809581453,"개인연금,퇴직연금"
K55101E96450,"ACE 미국반도체데일리타겟커버드콜(합성)",480040,"주식","",187175260621,-10.876380540073,-15.241082345463,-19.174796365866,"개인연금,퇴직연금"
K55101DN4471,"ACE 미국배당다우존스",402970,"주식","",985890049426,0.81744971615,1.404605828847,0.36490407177,"개인연금,퇴직연금"
K55101EK7278,"ACE 미국배당퀄리티",0046Y0,"주식","",53766644527,-2.065070306525,-1.254993018071,-5.333603321416,"개인연금,퇴직연금"
K55101EK7344,"ACE 미국배당퀄리티+커버드콜액티브",0049M0,"주식","",78632598447,-2.705387125762,-2.141838984354,-5.85176376839,"개인연금,퇴직연금"
K55101EK7294,"ACE 미국배당퀄리티채권혼합50",0049K0,"혼합형","",26217432734,-1.048115573877,-0.639955548706,-2.658208627263,"개인연금,퇴직연금"
KR5101AJ9786,"ACE 미국부동산리츠(합성 H)",181480,"리츠","",10404927946,1.039606521738,0.497212394882,2.172618182637,"개인연금,퇴직연금"
K55101E97763,"ACE 미국빅테크7+데일리타겟커버드콜(합성)",480020,"주식","",167798630034,-3.091577603419,-3.093233596238,-17.082677276497,"개인연금,퇴직연금"
K55101E52479,"ACE 미국빅테크TOP7 Plus",465580,"주식","",1034325260678,-3.940513091077,0.862597131374,-8.809795397319,"개인연금,퇴직연금"
K55101E52487,"ACE 미국빅테크TOP7 Plus레버리지(합성)",465610,"주식","",98741908037,-7.792161222074,0.877910276859,-19.025640450335,""
K55101E52495,"ACE 미국빅테크TOP7 Plus인버스(합성)",465620,"주식","",656575510,3.609817693947,-1.775734078322,6.587123875341,""
